,Significant features,Coefficients,p-val
0,intercept,[-1.3014913],0.0
1,Q1_feat1,-0.10022570797,0.002076045735333265
2,Q1_feat2,-0.183774419853,4.752240229111138e-06
3,Q1_feat4,0.483849029752,0.0
4,Q1_feat5,-0.0922645417905,0.0022930500332609682
5,Q2_feat5,-0.151335011169,0.010438848504554121
6,Q3_feat3,0.136846106751,5.161268244791017e-06
7,Q4_feat1,-0.269729227439,0.0
8,Q6_feat1,-0.153855739511,9.787328462085298e-05
9,Q6_feat2,0.163542983559,3.3943471031694372e-06
10,Q6_feat3,0.184509886352,4.293518151232689e-06
11,Q9_feat1,0.123167062669,5.8581469545071485e-05
12,Q10_feat6,0.143722435233,0.0018137050113553599
13,Q12_feat2,0.101819527092,0.003686652563996695
14,Q13_feat4,-0.135126789276,0.013890894013984134
15,Laptop_Q1_feat2,0.325487652318,1.5443202272535927e-11
16,Laptop_Q1_feat4,0.361541837028,2.1237234193449694e-11
17,Laptop_Q2_feat1,0.325832107767,6.759255346677762e-05
18,Laptop_Q2_feat5,0.376332598893,2.3978099576771328e-05
19,Laptop_Q3_feat1,0.276883739695,3.352450650417893e-08
20,Laptop_Q3_feat2,0.29687093346,1.8798984591228418e-10
21,Laptop_Q3_feat3,0.413814547932,1.0125233984581428e-13
22,Laptop_Q4_feat1,0.351769148903,1.865174681370263e-14
23,Laptop_Q5_feat1,0.602563005292,3.2485528045356205e-08
24,Laptop_Q6_feat1,0.34855950265,1.1476989498770962e-06
25,Laptop_Q6_feat2,0.161378757783,0.01064879966185539
26,Laptop_Q6_feat3,0.150524478804,0.04267112653641103
27,Laptop_Q6_feat4,0.273558181949,0.0014011485858527184
28,Laptop_Q9_feat1,0.197040644227,4.7132553878226346e-05
29,Laptop_Q9_feat2,0.280185512521,1.2243040803383565e-08
30,Laptop_Q9_feat3,0.409154308702,9.418021917895203e-12
31,Laptop_Q10_feat2,0.236046007149,1.8735331532848676e-06
32,Laptop_Q10_feat3,0.505153962403,9.497602704300334e-11
33,Laptop_Q12_feat1,0.355755655496,2.007671315862325e-07
34,Laptop_Q12_feat2,0.149032215442,0.025431368893411355
35,Laptop_Q12_feat3,0.146426977729,0.025673024635007424
36,Laptop_Q12_feat5,0.383757837809,2.806238748265244e-06
37,Laptop_Q13_feat1,0.290819126925,7.682182450308161e-05
38,Laptop_Q13_feat2,0.300490251985,3.0440592353464524e-06
39,Laptop_Q13_feat4,0.421208920484,3.15260406966722e-05
40,location_1,0.365206324465,0.0
