,features,Importance,Question
0,Smart Watch_Q3_feat3,0.13945868945868947,Smart Watch_Q3
1,Smart Watch_Q11_feat2,0.1279112379128261,Smart Watch_Q11
2,Smart Watch_Q10_feat2,0.09760166516569795,Smart Watch_Q10
3,Smart Watch_Q1_feat2,0.08891380654193631,Smart Watch_Q1
4,Smart Watch_Q6_feat1,0.06547815627270161,Smart Watch_Q6
5,Smart Watch_Q4_feat1,0.06545674773133793,Smart Watch_Q4
6,Smart Watch_Q7_feat5,0.05947806886946827,Smart Watch_Q7
7,Smart Watch_Q9_feat3,0.04706922027518299,Smart Watch_Q9
8,Smart Watch_Q3_feat2,0.04103390822140819,Smart Watch_Q3
9,Smart Watch_Q12_feat5,0.039651601997738664,Smart Watch_Q12
10,Smart Watch_Q2_feat5,0.03608070863505647,Smart Watch_Q2
11,Smart Watch_Q12_feat1,0.026714834590502022,Smart Watch_Q12
12,Smart Watch_Q13_feat1,0.025048947626040135,Smart Watch_Q13
13,Smart Watch_Q8_feat5,0.019354925443008337,Smart Watch_Q8
14,Smart Watch_Q4_feat3,0.014910207494310735,Smart Watch_Q4
15,Smart Watch_Q13_feat4,0.012442878599047713,Smart Watch_Q13
16,Smart Watch_Q8_feat3,0.009180860896547181,Smart Watch_Q8
17,Smart Watch_Q13_feat2,0.0066377291508181654,Smart Watch_Q13
18,location_2,0.006522133453313229,location_2
19,Smart Watch_Q3_feat1,0.005506880506880506,Smart Watch_Q3
20,Relationship_3,0.004172301983631571,Relationship_3
21,Q3_feat4,0.0038097498794818657,Q3
22,Smart Watch_Q5_feat1,0.003731881505633866,Smart Watch_Q5
23,Smart Watch_Q10_feat3,0.0036912061368583144,Smart Watch_Q10
24,location_3,0.0034115183147642543,location_3
25,Q10_feat4,0.0033962248394118107,Q10
26,Relationship_2,0.0031048429047024545,Relationship_2
27,Q4_feat3,0.002883618216470522,Q4
28,Q3_feat3,0.00224328963795256,Q3
29,Q5_feat1,0.0019506866416978776,Q5
30,Smart Watch_Q6_feat4,0.0018761931745357064,Smart Watch_Q6
31,Smart Watch_Q9_feat2,0.001876193174535706,Smart Watch_Q9
32,Smart Watch_Q12_feat2,0.0018556883310981594,Smart Watch_Q12
33,Q9_feat1,0.0016959681292408782
34,Smart Watch_Q5_feat3,0.0016507012327214236
35,Q12_feat3,0.0016500128066666065
36,Q8_feat5,0.0015130325874707893
37,Q8_feat2,0.0013275506311554994
38,Q8_feat1,0.0013004577611319182
39,Q12_feat2,0.0013004577611319182
40,Q9_feat4,0.001195086947891571
41,Q5_feat4,0.0011338713449356376
42,Q1_feat1,0.001122747936924007
43,Q5_feat3,0.0010981487246884045
44,Q1_feat4,0.0010199234069786505
45,Q9_feat2,0.0009753433208489389
46,Q1_feat2,0.0009753433208489388
47,Q1_feat3,0.0009753433208489388
48,Q10_feat2,0.0009753433208489388
49,Q2_feat2,0.0007398663442832362
50,Q8_feat3,0.000724179081252971
51,Q1_feat5,0.0007117528221179631
52,Q6_feat1,0.0006437265917602989
53,Q13_feat4,0.0005201831044527677
54,Relationship_1,0.0004249710183698947
55,Q12_feat1,0.0003920040141211045
56,Q2_feat5,0.00036800543063231965
57,Q7_feat1,0.0003675815418127643
58,Q6_feat4,0.0003444830165687413
59,Q10_feat6,0.0003296885611960525
60,Q7_feat5,0.0003251144402829795
61,Q2_feat3,0.00031074719940199947
62,Q3_feat2,0.00027798650671254863
63,Q13_feat2,0.0002090021401819158
64,Q11_feat3,0.00018367712317845846
65,Q3_feat1,0.00014630149812734094
66,Q12_feat5,0.00013266574596162628
67,Q10_feat1,0.00011693191633707165
68,location_1,0.00011529327140356669
69,Q6_feat3,9.288984008085164e-05
70,Q7_feat2,8.127861007074482e-05
71,Q5_feat2,6.502288805659593e-05
72,Q9_feat6,1.0711156016516337e-05
73,Q1_feat7,0.0
74,Q2_feat1,0.0
75,Q3_feat6,0.0
76,Q4_feat1,0.0
77,Q5_feat6,0.0
78,Q6_feat2,0.0
79,Q7_feat3,0.0
80,Q9_feat3,0.0
81,Q10_feat3,0.0
82,Q10_feat7,0.0
83,Q11_feat1,0.0
84,Q11_feat2,0.0
85,Q11_feat5,0.0
86,Q13_feat1,0.0
87,Smart Watch_Q1_feat1,0.0
88,Smart Watch_Q1_feat3,0.0
89,Smart Watch_Q1_feat4,0.0
90,Smart Watch_Q1_feat5,0.0
91,Smart Watch_Q1_feat7,0.0
92,Smart Watch_Q2_feat1,0.0
93,Smart Watch_Q2_feat2,0.0
94,Smart Watch_Q2_feat3,0.0
95,Smart Watch_Q3_feat4,0.0
96,Smart Watch_Q3_feat6,0.0
97,Smart Watch_Q5_feat2,0.0
98,Smart Watch_Q5_feat4,0.0
99,Smart Watch_Q5_feat6,0.0
100,Smart Watch_Q6_feat2,0.0
101,Smart Watch_Q6_feat3,0.0
102,Smart Watch_Q7_feat1,0.0
103,Smart Watch_Q7_feat2,0.0
104,Smart Watch_Q7_feat3,0.0
105,Smart Watch_Q8_feat1,0.0
106,Smart Watch_Q8_feat2,0.0
107,Smart Watch_Q9_feat1,0.0
108,Smart Watch_Q9_feat4,0.0
109,Smart Watch_Q9_feat6,0.0
110,Smart Watch_Q10_feat1,0.0
111,Smart Watch_Q10_feat4,0.0
112,Smart Watch_Q10_feat6,0.0
113,Smart Watch_Q10_feat7,0.0
114,Smart Watch_Q11_feat1,0.0
115,Smart Watch_Q11_feat3,0.0
116,Smart Watch_Q11_feat5,0.0
117,Smart Watch_Q12_feat3,0.0
